"geneid"	"sample1"	"sample2"	"sample3"	"sample4"	"sample5"	"sample6"
"489"	677774	4	0	0	13	5	7
"490"	9473	612	60	461	322	266	217
"491"	6118	1883	522	1229	2463	2051	1917
"492"	27293	15	0	52	8	9	9
"493"	55113	253	183	332	1024	799	1058
"494"	2140	169	33	354	785	819	718
"495"	653566	3517	1314	2261	4852	3372	4024
"496"	5724	117	4	69	102	158	136
"497"	22826	3896	923	2351	4975	3706	5513
"498"	93974	3532	1131	4336	5336	4272	5056
"499"	83667	900	245	1252	1363	939	919
"500"	54797	440	99	311	946	680	880
"501"	65979	1499	508	808	6503	5801	7914
"502"	8420	459	162	371	2037	1588	1583
"503"	1104	291	69	392	2133	2590	2422
"504"	6080	2	1	6	20	20	17
"505"	26768	2	9	7	26	18	18
"506"	54952	567	194	344	1843	1446	1849
"507"	85028	176	85	129	814	861	905
"508"	692212	19	6	1	73	52	86
"509"	677838	66	20	30	180	133	202
"510"	677825	25	1	8	93	85	145
"511"	692073	24	8	28	91	90	96
"512"	115273	1	3	14	64	32	104
"513"	6883	501	215	330	963	777	818
"514"	26824	3	0	1	5	21	25
"515"	10691	261	38	321	2252	2284	2161
"516"	51441	3458	535	2641	9764	8092	10465
"517"	4985	61	3	395	7	8	20
"518"	2035	781	222	864	7063	7267	8755
"519"	399474	163	105	250	107	15	109
"520"	6429	4795	1333	5708	11288	11191	13842
"521"	51102	1135	275	1098	1028	905	847
"522"	10076	2507	262	3216	7203	4123	5222
"523"	100288450	0	0	0	0	0	0
"524"	4146	39	6	44	112	14	77
"525"	100129196	38	11	40	18	9	27
"526"	7805	906	170	272	332	428	446
"527"	9672	21213	12489	29161	65184	39006	47138
"528"	9698	4672	1221	7062	18810	14819	14447
"529"	692234	1	0	1	33	41	23
"530"	692235	2	0	8	33	45	21
"531"	692200	0	0	0	5	5	3
"532"	28997	2	2	4	63	49	41
"533"	79570	733	57	1081	20166	21491	15720
"534"	9410	561	122	319	1508	1708	1588
"535"	51538	3468	850	2252	4681	2542	3991
"536"	2170	3906	346	3770	6691	1920	2449
"537"	347735	21	18	20	661	1691	1078
"538"	149086	0	0	0	0	0	0
"539"	284551	0	0	0	0	0	1
"540"	64129	583	795	731	139	65	70
"541"	3061	20	14	79	1005	161	257
"542"	553115	3909	1089	3661	2590	2041	1949
"543"	1307	2173	1260	1388	604	877	609
"544"	576	18442	3081	37707	21171	29348	15311
"545"	100423028	0	0	2	9	0	5
"546"	90853	29	2	13	6	1	4
"547"	8073	14402	4517	5577	18967	12041	15026
"548"	100507229	14	6	7	78	110	74
"549"	10657	5160	1369	3820	26501	26012	28718
"550"	55116	714	218	696	1681	1881	1967
"551"	23633	5827	858	7564	12330	9374	8955
"552"	200081	2709	827	2929	6017	6816	6317
"553"	79140	328	213	421	2852	2286	2061
"554"	55721	445	109	492	883	798	964
"555"	149069	90	15	120	218	170	209
"556"	100507457	111	37	98	140	88	192
"557"	56063	302	89	356	741	568	787
"558"	8668	3027	810	2214	4666	4515	3981
"559"	339483	418	174	392	1862	1139	1529
"560"	84734	32	19	42	202	318	242
"561"	3932	4	38	11	3	1	6
"562"	3065	928	583	549	1374	1518	2482
"563"	65108	18370	6094	7282	110841	90134	123486
"564"	100128071	107	89	150	89	162	126
"565"	81629	173	32	273	465	930	728
"566"	55108	6500	1736	7258	8460	8663	10002
"567"	728116	82	32	133	3598	1854	2577
"568"	653121	678	157	517	8193	5500	7079
"569"	339487	318	87	191	335	339	445
"570"	5928	3672	1040	2994	16578	15089	18678
"571"	81493	91	50	130	138	96	116
"572"	57648	3271	830	6483	7876	7629	6473
"573"	8565	7432	804	6880	6729	3875	4775
"574"	64766	1480	404	729	5493	3516	5382
"575"	252995	2395	642	3137	1859	1726	1902
"576"	3208	11637	2586	23613	2160	5252	1500
